gender,age,study_time,failures,absences,G1,G2,G3,family_support,paid_classes,activities,internet,parental_edu,dropout
M,21,1,0,3,10,12,8,yes,yes,yes,yes,secondary,0
M,18,2,0,4,15,17,15,yes,no,yes,yes,higher,0
M,19,3,0,5,16,19,15,yes,yes,no,yes,secondary,0
F,18,1,3,4,10,7,5,yes,no,no,no,higher,0
F,18,2,0,2,12,14,12,no,yes,no,no,secondary,0
F,18,3,0,3,8,6,4,yes,no,no,yes,secondary,0
M,19,2,1,4,10,7,7,no,no,no,no,secondary,0
F,21,2,0,2,10,12,9,yes,yes,no,yes,primary,0
M,20,2,2,3,11,10,10,yes,no,yes,no,primary,0
M,18,1,0,0,11,8,4,yes,no,no,no,none,1
F,16,1,0,8,12,15,9,yes,no,yes,no,secondary,0
M,19,2,0,4,11,11,6,yes,yes,no,no,secondary,1
M,18,1,0,3,7,4,4,yes,no,yes,no,primary,0
M,21,1,1,8,8,5,7,yes,no,yes,yes,secondary,0
M,20,3,1,5,9,6,5,yes,no,no,no,primary,1
M,19,4,0,3,10,12,8,yes,no,no,no,secondary,0
F,17,3,0,5,14,11,11,yes,no,yes,no,secondary,0
M,20,3,1,1,7,7,8,yes,no,yes,yes,secondary,0
F,16,1,2,4,9,10,8,yes,no,no,yes,secondary,1
F,18,4,0,3,13,10,10,yes,yes,no,yes,primary,0
M,21,1,0,1,10,9,5,yes,no,no,no,higher,0
M,17,4,0,3,12,12,12,yes,no,no,yes,primary,0
M,21,4,1,4,10,11,13,yes,no,yes,yes,primary,0
F,17,3,0,1,11,13,11,yes,no,no,yes,primary,0
M,19,4,0,6,10,7,2,yes,no,no,yes,secondary,1
F,17,2,1,2,13,14,10,yes,no,no,yes,secondary,0
M,16,2,0,4,6,5,6,no,no,yes,yes,secondary,0
F,16,2,0,4,9,9,6,yes,no,no,no,secondary,0
M,15,2,0,6,11,11,11,yes,yes,no,no,primary,0
M,16,1,0,3,12,14,12,no,no,no,yes,higher,0
F,20,2,0,3,15,17,12,yes,no,no,no,secondary,0
F,17,4,0,2,9,11,8,no,no,no,no,secondary,0
M,16,1,0,7,15,16,11,yes,no,no,yes,secondary,0
F,19,3,0,2,9,6,5,yes,no,yes,yes,primary,1
F,21,4,1,4,14,12,9,no,no,yes,no,primary,0
F,21,4,1,5,13,13,13,yes,no,no,yes,secondary,0
F,15,4,0,2,8,6,10,yes,no,no,no,primary,0
M,21,2,0,5,11,14,7,yes,yes,yes,yes,primary,1
M,17,4,0,5,10,10,4,yes,no,no,yes,higher,0
M,15,3,0,3,12,14,10,yes,yes,yes,no,secondary,0
F,17,1,0,4,10,7,3,yes,no,yes,yes,secondary,0
F,19,2,0,4,10,7,7,no,no,no,no,secondary,0
M,15,3,0,2,15,15,13,no,no,no,yes,higher,0
M,18,1,0,3,10,11,11,yes,no,yes,yes,primary,0
F,20,2,0,3,13,16,12,no,yes,no,yes,higher,0
F,20,3,0,3,10,12,9,yes,no,no,yes,secondary,0
F,17,1,0,6,15,12,7,yes,no,no,yes,primary,1
M,21,2,0,1,8,11,8,no,no,yes,yes,primary,0
M,18,3,0,2,9,12,9,no,no,no,yes,secondary,0
M,15,2,2,3,15,12,12,no,no,yes,no,secondary,1
F,18,1,2,1,9,8,5,yes,no,yes,yes,primary,0
M,18,1,0,6,15,18,13,yes,no,no,no,secondary,0
F,21,2,0,4,13,10,6,no,no,no,yes,secondary,1
M,15,4,0,3,10,9,3,yes,no,yes,yes,secondary,0
F,19,1,0,9,5,2,0,yes,no,no,no,higher,0
F,21,2,0,5,10,7,3,yes,no,no,yes,higher,0
F,18,1,1,6,11,14,11,no,yes,no,yes,secondary,0
M,18,2,0,5,14,15,11,yes,no,no,yes,higher,0
M,19,3,1,3,15,16,11,yes,yes,yes,no,primary,0
M,18,3,0,4,8,10,5,yes,yes,no,no,none,0
F,18,1,0,5,13,10,2,yes,no,yes,yes,secondary,0
F,18,2,1,7,13,15,14,no,yes,no,yes,secondary,0
F,20,1,0,1,14,16,10,yes,no,yes,no,secondary,1
F,21,2,0,6,12,14,10,yes,yes,yes,yes,secondary,0
F,16,3,0,3,5,7,2,yes,yes,no,yes,primary,0
M,21,1,0,5,10,10,10,yes,yes,yes,yes,primary,0
F,19,2,3,3,7,10,7,yes,yes,yes,yes,higher,1
M,18,2,0,5,10,13,8,yes,no,no,yes,higher,0
M,21,4,3,4,13,13,10,yes,no,no,no,secondary,0
F,20,4,3,6,11,8,11,yes,no,no,yes,secondary,1
M,19,1,1,4,14,14,11,no,no,yes,yes,secondary,0
M,17,3,0,6,12,9,8,no,no,yes,no,primary,1
F,21,2,0,5,7,8,4,yes,yes,yes,yes,secondary,1
M,17,2,1,2,3,6,0,yes,no,no,yes,secondary,0
F,18,3,0,1,11,9,7,no,yes,no,yes,secondary,1
M,20,4,0,1,10,9,8,yes,no,yes,no,none,0
M,20,4,0,3,8,11,10,yes,yes,yes,yes,higher,0
M,21,2,0,5,5,5,0,no,no,yes,yes,higher,1
M,19,2,0,3,8,8,4,yes,yes,yes,no,primary,0
F,19,3,0,5,10,11,7,yes,yes,yes,no,secondary,0
M,20,2,0,4,12,12,10,yes,no,no,no,higher,0
F,19,2,1,3,11,8,7,yes,no,yes,yes,primary,0
F,20,2,0,6,15,12,10,no,no,no,yes,secondary,1
F,21,3,2,5,7,5,5,yes,no,no,yes,secondary,0
F,16,1,0,6,13,11,8,yes,no,yes,yes,secondary,0
F,20,1,1,2,11,14,12,no,no,no,no,higher,0
M,17,4,0,5,13,11,10,no,no,no,yes,secondary,0
M,19,1,1,6,9,6,5,yes,no,yes,no,primary,0
M,20,2,0,3,14,16,15,yes,no,no,yes,primary,0
F,20,1,1,5,11,13,13,yes,no,yes,yes,none,0
M,21,1,0,5,8,6,7,no,no,no,no,secondary,0
F,19,1,2,6,10,8,1,yes,no,no,yes,secondary,1
F,16,1,3,3,10,7,10,yes,no,no,no,primary,1
M,21,3,0,6,12,13,12,yes,no,no,no,secondary,0
F,16,2,0,11,7,10,11,yes,no,no,yes,secondary,1
M,21,4,1,5,10,10,10,yes,no,no,yes,primary,0
M,19,2,0,6,12,15,14,yes,no,no,yes,secondary,0
F,15,2,1,5,11,10,10,yes,no,yes,no,secondary,0
F,19,2,0,5,15,17,16,yes,yes,no,yes,secondary,0
F,19,2,0,2,13,15,15,yes,no,yes,no,secondary,0
M,16,3,3,10,10,7,7,yes,yes,yes,yes,secondary,0
M,16,2,0,2,11,14,7,no,no,no,no,higher,0
F,19,2,1,2,11,8,7,no,no,yes,no,secondary,0
F,19,3,0,2,12,11,10,yes,no,yes,yes,secondary,0
F,19,4,0,3,5,8,6,yes,no,no,yes,secondary,0
M,16,3,0,3,10,9,5,yes,yes,yes,yes,primary,0
F,19,2,0,3,6,4,1,yes,yes,yes,yes,secondary,1
M,19,3,0,3,14,17,11,yes,no,no,yes,secondary,0
M,18,2,0,7,10,9,9,yes,yes,no,yes,primary,0
F,15,2,0,5,10,10,11,no,no,no,no,secondary,0
M,17,1,0,6,13,13,12,yes,no,no,no,none,1
F,15,2,1,1,12,14,13,yes,no,no,no,secondary,0
M,18,1,0,4,7,7,5,yes,no,no,yes,primary,0
M,17,2,0,3,10,13,6,no,no,no,no,none,0
F,21,3,0,7,9,9,6,yes,no,no,yes,higher,0
F,19,1,0,4,5,5,3,no,no,no,yes,higher,0
F,18,1,1,3,8,6,4,yes,yes,yes,yes,primary,1
F,21,1,0,7,10,12,9,no,no,yes,yes,secondary,0
F,19,4,0,1,10,7,7,no,no,yes,yes,primary,0
F,16,2,0,4,6,8,8,no,yes,no,yes,secondary,0
F,20,2,0,3,14,16,12,yes,no,yes,no,secondary,0
M,18,3,1,5,10,12,5,yes,no,no,yes,primary,0
F,16,3,0,2,11,10,7,yes,no,no,no,secondary,0
M,18,2,1,4,12,9,8,no,no,no,yes,primary,0
F,18,3,0,4,8,7,8,yes,no,yes,yes,primary,0
F,16,3,0,4,12,10,7,yes,no,no,yes,secondary,1
M,17,3,2,6,9,7,7,yes,no,yes,no,secondary,1
F,15,1,0,8,8,9,7,yes,no,no,yes,secondary,0
F,19,3,0,5,12,13,10,yes,no,no,yes,secondary,0
M,18,2,0,3,15,13,13,yes,no,yes,yes,secondary,0
F,19,2,0,4,13,11,8,yes,yes,no,yes,secondary,0
F,20,2,0,4,13,12,9,yes,yes,yes,no,secondary,0
M,16,1,0,4,9,7,6,no,no,no,yes,secondary,1
F,19,1,0,7,6,9,5,no,no,yes,yes,secondary,1
M,16,3,0,5,15,12,12,no,no,yes,no,secondary,0
F,19,1,0,5,17,16,12,yes,no,yes,yes,secondary,1
F,15,2,0,6,15,13,11,no,yes,yes,no,secondary,0
F,15,2,0,2,9,8,6,yes,no,no,no,secondary,0
F,15,1,0,7,7,6,6,yes,yes,no,no,secondary,0
F,15,4,3,3,7,7,5,yes,no,no,yes,secondary,0
F,15,1,0,5,5,6,4,yes,no,yes,no,secondary,0
M,15,2,2,2,10,9,8,yes,no,yes,yes,higher,0
F,16,2,0,4,15,17,13,no,yes,no,no,secondary,0
M,18,1,0,6,10,13,9,yes,no,yes,yes,higher,0
F,19,1,0,6,11,14,14,yes,no,no,yes,secondary,0
M,15,3,0,0,15,14,10,yes,no,no,no,higher,0
M,16,4,0,0,9,11,8,yes,no,yes,yes,secondary,0
M,16,1,0,2,17,20,12,yes,no,no,no,higher,0
F,16,3,0,4,16,16,14,yes,no,no,no,primary,0
M,18,3,2,3,10,8,5,no,no,no,yes,primary,0
F,19,3,0,4,9,8,6,yes,no,yes,yes,secondary,0
M,18,2,0,3,13,13,10,yes,no,yes,yes,higher,0
M,17,2,1,8,9,6,6,no,no,yes,no,secondary,0
F,21,2,0,6,7,7,4,no,no,yes,yes,primary,0
F,16,3,0,3,14,15,11,no,yes,yes,yes,secondary,0
M,17,3,0,0,14,15,15,yes,no,no,no,secondary,0
F,20,1,2,2,11,9,8,yes,yes,no,no,secondary,1
F,15,2,1,3,7,9,5,yes,no,no,no,secondary,0
F,21,4,0,6,7,5,4,no,no,yes,no,higher,1
M,15,3,0,3,11,14,14,no,no,no,yes,higher,0
M,18,4,2,4,9,11,8,yes,no,yes,yes,primary,0
F,21,3,0,9,9,11,7,yes,no,no,yes,secondary,0
M,19,2,0,7,14,16,11,no,no,no,no,secondary,0
F,17,2,0,3,13,15,10,yes,no,no,no,secondary,0
F,19,3,0,2,15,16,11,yes,no,no,no,primary,0
F,18,1,0,2,8,11,5,yes,no,no,no,secondary,0
F,15,2,0,2,9,10,5,yes,no,yes,yes,secondary,0
F,21,3,0,4,13,12,8,no,yes,yes,yes,higher,0
M,19,1,0,6,12,15,12,yes,no,yes,yes,higher,0
F,19,3,1,3,15,16,12,yes,no,yes,yes,none,0
M,15,2,0,3,12,10,8,yes,no,no,no,higher,0
F,21,4,0,5,16,17,16,yes,no,yes,yes,secondary,0
F,17,1,0,5,12,15,14,yes,no,no,no,secondary,0
F,15,2,0,5,14,17,12,yes,no,yes,no,secondary,0
F,19,2,0,7,10,8,6,yes,no,no,yes,secondary,0
F,17,2,0,3,11,8,6,yes,no,no,yes,secondary,1
M,17,3,1,2,13,16,13,no,yes,yes,yes,secondary,0
M,15,3,2,1,15,16,12,yes,no,no,yes,primary,0
F,19,1,0,6,13,11,9,yes,no,no,no,secondary,0
M,18,2,0,4,10,12,7,no,no,yes,yes,primary,1
M,19,2,0,4,15,18,12,yes,no,no,no,none,0
M,16,2,1,6,4,4,4,no,yes,yes,no,secondary,0
M,21,4,1,1,6,8,3,yes,no,no,yes,secondary,1
M,20,3,0,4,13,12,12,no,no,no,no,secondary,0
M,18,3,0,3,11,14,9,no,no,no,no,primary,0
M,17,3,1,4,12,10,8,yes,no,no,no,higher,0
M,18,2,0,4,11,13,7,no,no,yes,yes,secondary,0
F,21,4,0,4,12,13,10,no,no,no,yes,primary,0
M,17,3,0,2,8,9,6,yes,yes,no,yes,secondary,1
M,21,3,0,2,12,15,11,yes,no,no,yes,secondary,0
F,17,3,1,7,13,10,12,yes,no,no,no,primary,0
M,18,2,2,7,14,14,12,no,no,yes,no,secondary,0
F,17,3,0,2,17,20,14,yes,no,no,no,higher,0
F,17,1,0,5,11,9,6,yes,no,yes,yes,secondary,0
M,16,2,0,3,11,13,11,yes,yes,no,yes,primary,0
M,19,2,0,4,6,6,7,yes,no,yes,no,higher,0
F,19,4,0,1,9,6,6,yes,no,no,yes,secondary,0
F,20,3,0,3,10,13,11,yes,no,no,yes,higher,0
F,20,3,0,5,14,13,12,no,no,no,yes,primary,0
F,16,3,0,2,9,9,10,yes,yes,yes,yes,secondary,0
M,20,2,0,4,13,10,5,yes,no,no,no,secondary,1
F,21,4,0,5,10,13,11,yes,no,no,yes,primary,0
M,18,2,0,2,10,13,11,yes,yes,no,no,secondary,0
F,15,2,0,5,11,9,5,yes,no,yes,no,secondary,0
F,21,1,3,4,9,12,7,yes,no,no,yes,none,1
F,15,3,0,3,9,8,5,yes,no,yes,no,secondary,1
F,15,3,0,4,5,8,4,yes,no,no,yes,secondary,1
M,16,2,1,5,10,11,8,yes,no,yes,no,primary,0
M,21,1,3,5,9,6,6,yes,yes,yes,yes,higher,1
M,16,3,0,6,9,10,9,no,no,yes,no,higher,0
M,17,1,1,0,12,15,13,yes,no,yes,yes,primary,1
F,15,3,0,3,12,11,7,no,no,yes,no,secondary,1
M,18,4,0,4,11,8,6,no,no,no,no,secondary,1
M,20,2,0,2,13,10,12,yes,yes,no,yes,secondary,0
F,18,1,0,6,12,15,12,no,no,yes,no,higher,0
F,20,3,0,3,10,9,8,yes,no,no,yes,secondary,0
F,15,3,0,5,9,7,7,yes,no,no,yes,higher,0
F,15,2,0,1,11,8,7,yes,no,no,no,secondary,1
M,15,4,0,2,12,11,10,no,no,yes,no,secondary,0
M,16,1,0,3,15,15,11,yes,no,yes,yes,higher,0
F,21,2,0,3,14,15,12,no,no,no,yes,secondary,0
F,20,3,0,3,9,6,3,yes,yes,yes,no,secondary,0
M,21,3,1,3,10,10,7,no,no,yes,no,secondary,0
F,16,1,1,4,13,10,8,yes,yes,yes,yes,primary,0
M,16,3,1,7,14,12,9,yes,no,yes,yes,secondary,0
M,19,2,0,4,13,16,10,yes,yes,no,no,higher,0
F,18,2,1,6,10,9,6,yes,no,yes,no,secondary,0
F,18,1,0,5,7,4,1,yes,yes,no,no,higher,1
F,17,3,0,1,8,7,7,no,yes,no,yes,primary,0
M,16,1,0,2,11,13,10,yes,no,no,no,secondary,0
F,20,2,0,6,12,9,5,no,no,yes,no,higher,1
M,19,2,0,3,7,5,3,yes,no,yes,yes,secondary,1
M,19,3,0,6,11,9,8,no,no,no,yes,primary,0
F,21,3,1,7,12,15,10,yes,yes,yes,no,secondary,0
F,18,3,0,5,7,10,6,yes,no,no,yes,secondary,1
F,16,2,0,7,14,14,11,no,no,yes,no,primary,0
F,17,2,3,2,9,7,7,yes,no,no,no,higher,1
F,16,2,0,8,14,13,8,yes,no,no,no,higher,0
F,21,3,0,7,9,11,9,yes,no,no,no,secondary,0
M,15,4,0,4,7,5,3,yes,no,no,yes,secondary,0
M,16,1,0,5,9,6,6,yes,yes,yes,yes,higher,0
M,21,3,0,1,10,8,7,no,no,yes,no,secondary,0
M,15,1,0,3,9,11,7,yes,no,yes,yes,none,0
F,15,2,0,3,10,9,5,yes,no,yes,yes,primary,0
F,17,2,0,2,12,9,8,yes,no,no,yes,primary,0
M,20,2,0,5,10,10,11,yes,no,yes,yes,none,0
M,18,2,0,5,10,10,5,yes,yes,yes,no,secondary,1
F,16,2,0,2,5,5,7,no,no,no,yes,secondary,0
M,15,2,1,6,12,15,11,no,no,yes,yes,primary,0
F,16,3,0,1,10,7,7,yes,yes,no,no,primary,0
F,20,2,0,4,15,15,10,no,yes,yes,no,secondary,0
F,18,1,0,1,8,11,6,yes,yes,yes,no,primary,0
F,20,3,0,1,5,3,2,no,no,no,no,secondary,0
F,18,2,0,3,12,9,6,yes,no,no,no,none,0
M,19,2,0,3,12,9,8,yes,yes,yes,no,higher,0
F,18,3,2,1,7,4,3,yes,yes,yes,yes,higher,0
F,17,2,1,5,6,7,9,yes,no,yes,no,secondary,0
M,20,1,0,6,15,18,11,yes,no,yes,yes,secondary,0
F,15,2,1,0,15,14,12,yes,no,yes,no,higher,0
F,19,4,0,2,3,4,3,yes,no,no,yes,primary,1
F,17,2,0,5,9,10,6,yes,no,yes,yes,higher,0
F,16,3,0,3,15,16,14,yes,yes,no,yes,secondary,0
F,20,2,0,5,9,8,6,yes,no,no,yes,secondary,0
F,21,1,1,2,9,10,3,yes,no,yes,no,secondary,0
F,21,2,0,6,10,10,9,yes,no,yes,no,secondary,0
F,15,3,0,4,7,4,2,yes,no,no,no,secondary,1
F,18,1,2,2,5,2,0,no,no,yes,no,secondary,1
F,15,2,0,4,14,17,14,no,no,no,yes,secondary,0
F,21,2,0,6,5,3,2,yes,no,yes,no,primary,1
M,16,2,0,5,11,13,12,yes,no,no,yes,secondary,0
F,19,4,1,5,13,13,13,yes,no,yes,no,secondary,0
F,19,1,1,6,6,5,3,no,no,yes,yes,primary,1
M,20,2,0,4,8,10,9,yes,yes,yes,yes,primary,0
F,19,1,0,8,14,11,8,yes,yes,yes,no,primary,0
M,20,4,0,0,12,13,15,yes,no,no,no,secondary,0
M,20,1,1,2,9,12,7,yes,yes,no,no,secondary,1
F,20,2,0,1,14,17,15,yes,no,yes,no,primary,0
M,21,3,0,1,14,12,12,yes,no,no,yes,higher,0
F,21,3,2,6,11,9,8,yes,no,no,no,secondary,0
F,18,2,0,8,8,5,4,yes,no,no,no,secondary,1
F,17,2,0,3,9,9,7,yes,no,yes,yes,primary,0
M,20,2,0,3,11,14,6,yes,yes,no,yes,secondary,1
M,20,2,3,8,10,12,9,yes,no,yes,yes,secondary,1
F,17,1,0,4,13,11,10,no,no,no,no,higher,0
F,15,2,0,3,6,3,4,yes,no,no,yes,secondary,0
F,20,2,0,9,6,6,0,yes,yes,no,yes,secondary,0
M,18,2,0,2,11,8,5,yes,yes,no,yes,higher,0
F,19,3,0,5,9,6,4,yes,no,no,yes,primary,0
F,19,4,0,5,9,9,8,yes,yes,yes,no,none,0
F,16,2,3,4,5,5,5,yes,no,no,no,secondary,1
M,16,1,0,3,11,11,8,yes,no,yes,yes,primary,0
F,19,1,0,6,10,7,8,yes,no,yes,yes,primary,0
F,19,4,0,3,12,10,7,yes,no,no,yes,secondary,1
F,21,2,0,2,11,10,10,yes,yes,no,no,primary,0
M,18,1,2,1,10,9,8,yes,no,no,yes,secondary,1
F,17,2,0,2,14,11,10,yes,no,no,yes,higher,0
F,16,2,0,1,7,4,4,yes,no,no,no,secondary,0
M,21,2,0,3,12,10,12,yes,no,yes,yes,primary,0
F,21,2,0,8,5,5,5,yes,no,yes,no,primary,1
F,17,1,0,1,8,5,3,yes,no,no,yes,primary,1
M,21,4,0,4,7,10,8,yes,no,yes,no,primary,0
M,18,2,1,8,13,14,12,no,no,no,yes,primary,0
F,19,3,2,3,10,10,7,no,no,no,yes,secondary,1
M,20,3,0,3,10,13,12,yes,no,no,yes,secondary,0
F,17,2,2,7,7,4,5,yes,yes,no,no,secondary,1
M,19,2,0,4,10,11,4,yes,no,yes,no,higher,1
F,19,2,0,2,8,11,8,yes,no,no,yes,secondary,0
M,15,2,0,1,12,14,10,no,no,yes,no,secondary,0
F,17,3,0,7,8,6,6,no,no,yes,no,primary,1
F,21,4,0,5,14,15,14,no,yes,yes,no,secondary,0
F,20,1,0,2,5,2,3,yes,yes,no,no,secondary,1
F,17,1,0,6,8,7,9,yes,yes,no,yes,primary,1
M,21,4,0,3,16,19,14,no,no,no,no,higher,0
